,course_type,course_name,course_link,uni_name,uni_city,scholarship_avail,course_cost,lang_of_instr,lang_level,semester_beginning,online_course
147,Language course,Summer Courses at Heinrich Heine University: Two / Four Weeks,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4979/,Heinrich Heine University Düsseldorf ,Düsseldorf,available,EUR 275,German,"German: A2, B1, B2, C1","August 02 - August 27, 2021",0
148,Language course,Summer German Intensive Courses,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5125/,Aschaffenburg University of Applied Sciences ,Aschaffenburg,,EUR 299,German,"German: A1, A2, B1, B2","August 02 - August 27, 2021 (Registration Deadline July 01, 2021)",0
149,Short course and language course,Summer@Uni-Mainz 2021 – International Summer School Johannes Gutenberg University Mainz,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6997/,Johannes Gutenberg University Mainz ,Mainz,,EUR 2200,German,"German: A1, A2, B1, B2, C1, C2","August 02 - August 27, 2021 (Registration Deadline April 01, 2021)",0
150,Language course,Technical German for Medicine,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7081/,University of Bayreuth ,Bayreuth,available,Price only on request,German,"German: B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)",0
151,Language course,"TestDaF-Training: Online Preparatory Course for the TestDaF, Level B2",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5201/,g.a.s.t. / Deutsch-Uni Online ,München,,Price only on request,German,"German: B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)","<p class=""c-badge c-badge--bottom"">
<span class=""c-icon c-badge__item c-icon__screen""></span>
<span class=""c-badge__text"">Online</span>
</p>"
152,Language course,Training for German as a Foreign Language (GFL) Teachers and Graduates of German Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4892/,Universität Heidelberg ,Heidelberg,available,EUR 670,German,"German: C1, C2","July 29 - August 25, 2021 (Registration Deadline June 15, 2021)",0
153,Short course and language course,Training for Teachers of German as a Foreign Language,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5017/,University of Bayreuth ,Bayreuth,available,Price only on request,German,"German: C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)",0
154,Language course,Translation/Basics of Interpretation,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5498/,Johannes Gutenberg University Mainz ,Germersheim,available,EUR 630,German,"German: B2, C1","July 26 - August 18, 2021 (Registration Deadline June 27, 2021)",0
155,Language course,"Uni-Deutsch: Online German Courses, Level B1/B2",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5200/,g.a.s.t. / Deutsch-Uni Online ,München,,EUR 630,German,"German: B2, C1","July 26 - August 18, 2021 (Registration Deadline June 27, 2021)","<p class=""c-badge c-badge--bottom"">
<span class=""c-icon c-badge__item c-icon__screen""></span>
<span class=""c-badge__text"">Online</span>
</p>"
156,Language course,University Winter Course in Freiburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6184/,University of Freiburg ,Freiburg im Breisgau,,EUR 1100,German,"German: B1, B2, C1","January 05 - February 13, 2021",0
