Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
,2000/2001,128,117,95,123,17,22
,2001/2002,120,162,105,163,18,20
,2002/2003,152,193,131,210,24,20
,2003/2004,175,242,161,349,24,26
,2004/2005,185,258,199,483,26,23
,2005/2006,183,314,208,499,34,30
,2006/2007,197,355,232,543,27,40
,2007/2008,202,350,233,528,34,33
,2008/2009,218,438,276,580,38,34
,2009/2010,246,448,276,568,38,31
,2010/2011,272,439,275,671,44,48
,2011/2012,349,532,318,750,51,59
,2012/2013,340,575,364,832,50,84
,2013/2014,380,621,378,900,53,93
,2014/2015,429,696,439,996,59,95
,2015/2016,394,801,342,1157,75,117
,2016/2017,397,883,372,1191,80,127
,2017/2018,418,871,423,1215,96,124
,2018/2019,453,916,455,1238,99,126
,2019/2020,473,895,477,1226,95,118
    Peru,1998/1999,220,199,98,152,23,22
,1999/2000,246,207,99,158,26,20
,2000/2001,253,225,119,157,28,15
,2001/2002,261,235,126,162,27,16
,2002/2003,285,253,125,155,25,19
,2003/2004,283,296,117,157,24,25
,2004/2005,277,288,130,142,31,31
,2005/2006,300,301,140,147,34,34
,2006/2007,278,331,144,146,34,41
,2007/2008,285,324,136,136,36,36
,2008/2009,316,325,141,156,37,44
,2009/2010,299,326,139,151,41,44
,2010/2011,318,321,146,169,43,47
,2011/2012,309,324,161,172,42,47
,2012/2013,318,319,158,179,50,44
,2013/2014,324,332,168,185,63,40
,2014/2015,314,335,171,197,56,32
,2015/2016,245,436,101,306,52,34
,2016/2017,236,449,98,355,52,40
,2017/2018,259,470,104,371,52,53
,2018/2019,240,498,126,415,45,54
,2019/2020,273,507,133,422,42,59
    Venezuela,1998/1999,73,40,33,49,5,2
,1999/2000,73,56,39,60,5,6
,2000/2001,69,65,49,79,6,6
,2001/2002,73,60,52,110,8,6
,2002/2003,71,64,53,106,8,8
,2003/2004,69,66,58,109,11,12
,2004/2005,79,77,68,96,10,15
,2005/2006,88,81,78,100,10,20
,2006/2007,82,82,71,87,11,18
,2007/2008,87,74,72,85,14,18
,2008/2009,92,90,87,92,10,16
,2009/2010,101,91,85,103,12,19
,2010/2011,107,98,78,112,9,21
,2011/2012,99,102,83,121,11,23
,2012/2013,110,98,84,133,15,23
,2013/2014,117,107,94,153,15,19
,2014/2015,134,111,109,168,16,17
,2015/2016,142,123,67,226,15,22
,2016/2017,144,157,76,232,16,17
,2017/2018,154,181,80,239,17,15
,2018/2019,165,181,86,241,20,18
,2019/2020,139,186,80,217,21,18
    Vereinigte Staaten,1998/1999,2294,685,303,262,128,47
,1999/2000,2137,700,287,282,121,49
,2000/2001,2054,704,295,257,112,45
,2001/2002,1900,665,327,257,117,52
,2002/2003,1933,649,369,282,110,41
,2003/2004,1894,637,373,257,112,51
,2004/2005,1861,630,361,265,118,45
,2005/2006,1691,720,372,247,122,43
,2006/2007,1705,780,414,285,107,46
,2007/2008,1647,786,383,286,94,51
,2008/2009,1724,946,382,298,103,60
,2009/2010,1859,1044,396,342,127,57
,2010/2011,2022,1152,434,413,146,75
,2011/2012,2145,1241,505,462,159,86
,2012/2013,2122,1215,550,498,172,97
,2013/2014,2117,1408,570,474,179,107
,2014/2015,2215,1560,659,558,188,136
,2015/2016,2203,1859,587,813,209,166
,2016/2017,2411,2077,682,928,222,201
,2017/2018,2463,2178,768,981,234,227
,2018/2019,2452,2085,774,1055,237,226
,2019/2020,2392,2122,787,1081,231,208
    Sonstige Staaten in Amerika,1998/1999,206,210,123,173,34,52
,1999/2000,238,222,127,172,37,52
,2000/2001,237,228,120,173,33,51
,2001/2002,257,242,138,208,27,45
,2002/2003,253,266,176,208,29,52
,2003/2004,253,294,225,221,27,64
,2004/2005,265,334,210,238,30,60
,2005/2006,261,344,215,249,34,69
,2006/2007,256,337,210,268,41,80
,2007/2008,262,330,205,258,33,72
,2008/2009,260,374,201,282,40,82
,2009/2010,287,800,226,319,50,74
,2010/2011,281,430,225,371,58,82
,2011/2012,294,473,265,390,67,90
,2012/2013,339,499,282,417,63,100
,2013/2014,368,515,292,481,83,109
,2014/2015,382,555,318,521,76,119
,2015/2016,374,687,247,724,92,116
,2016/2017,381,764,291,796,92,126
,2017/2018,376,768,302,834,89,132
,2018/2019,417,841,327,891,73,125
,2019/2020,458,912,370,894,69,124
Asien,1998/1999,9976,6492,6003,7983,3138,798
,1999/2000,10406,7185,6446,8288,3086,780
,2000/2001,11242,8149,7556,9007,2930,799
,2001/2002,12756,9912,9390,11011,2968,884
,2002/2003,14330,12318,11830,13908,3057,998
,2003/2004,15465,14113,13881,17385,3186,1175
,2004/2005,15328,14399,14558,18743,3419,1282
,2005/2006,15118,14748,14586,19650,3615,1390
,2006/2007,15211,15108,14465,19417,3775,1446
,2007/2008,14669,14278,13821,18653,3776,1460
,2008/2009,14539,14786,13824,19109,3925,1457
,2009/2010,14693,14315,14044,20493,4138,1518
,2010/2011,14821,14449,14314,22836,4306,1581
,2011/2012,15243,15336,15336,25074,4471,1773
,2012/2013,15882,16694,16686,28314,4570,1951
,2013/2014,16706,18192,18202,32614,4734,2100
,2014/2015,17480,19853,19983,36487,4868,2255
,2015/2016,16837,22695,11754,51073,5037,2415
,2016/2017,18048,24716,13082,56744,5373,2543
,2017/2018,19039,26590,14370,63164,5625,2659
,2018/2019,20323,29198,16063,72509,6063,2870
,2019/2020,21267,31500,17639,80859,6545,3019
    Afghanistan,1998/1999,53,125,78,146,173,4
,1999/2000,49,145,93,143,159,3
,2000/2001,63,143,122,144,153,3
,2001/2002,65,151,155,160,150,1
,2002/2003,60,166,152,173,142,2
,2003/2004,66,170,157,181,122,2
,2004/2005,61,165,141,194,108,1
,2005/2006,84,195,149,197,93,2
,2006/2007,76,202,167,219,96,2
,2007/2008,77,205,141,232,86,4
,2008/2009,97,274,181,260,80,4
,2009/2010,88,327,184,305,78,5
,2010/2011,94,366,159,338,78,7
,2011/2012,104,420,201,339,83,4
,2012/2013,98,384,201,353,75,7
,2013/2014,102,390,177,372,87,7
,2014/2015,114,419,235,361,77,9
,2015/2016,90,431,117,539,68,11
,2016/2017,122,467,116,594,65,13
,2017/2018,95,435,110,647,60,14
,2018/2019,116,487,96,726,64,14
,2019/2020,122,560,125,799,70,17
    China,1998/1999,1156,1327,1290,1349,140,93
,1999/2000,1352,1741,1536,1607,197,93
,2000/2001,1731,2514,2231,2284,221,128
,2001/2002,2572,3965,3355,3751,224,203
,2002/2003,3309,5965,4836,5493,274,264
,2003/2004,3814,7326,5945,7588,307,304
,2004/2005,3863,7627,6256,8676,382,325
,2005/2006,3866,7526,6164,9083,369,382
,2006/2007,3974,7432,6039,8933,363,376
,2007/2008,3838,6690,5537,8669,359,386
,2008/2009,3780,6416,5181,8639,360,370
,2009/2010,3881,5669,4991,9125,372,376
,2010/2011,3890,5431,4668,9644,419,391
,2011/2012,4117,5529,4700,10251,473,451
,2012/2013,4476,5749,4936,11201,498,504
,2013/2014,5368,6264,5237,12532,592,518
,2014/2015,5565,6653,5441,13608,630,563
,2015/2016,5556,7055,3762,17021,638,611
,2016/2017,6066,7624,4192,18328,777,616
,2017/2018,6546,7578,4444,19420,912,641
,2018/2019,7171,7946,4824,20990,1106,639
,2019/2020,7349,8228,5046,21924,1271,672
    Indien,1998/1999,189,158,196,202,80,21
,1999/2000,175,216,283,336,82,25
,2000/2001,177,230,418,481,83,23
,2001/2002,184,296,622,847,108,31
,2002/2003,223,318,1101,1481,129,51
,2003/2004,229,339,1395,1924,145,80
,2004/2005,225,322,1479,1974,163,86
,2005/2006,188,394,1385,1783,164,74
,2006/2007,178,441,1337,1545,191,88
,2007/2008,197,462,1393,1187,195,93
,2008/2009,215,426,1467,1138,170,100
,2009/2010,253,545,1588,1396,181,107
,2010/2011,254,609,1902,1933,212,128
,2011/2012,287,620,2132,2583,230,146
,2012/2013,293,700,2505,3631,245,158
,2013/2014,300,894,3029,4964,263,169
,2014/2015,345,1089,3589,6363,258,216
,2015/2016,370,1302,1674,9882,282,230
,2016/2017,404,1593,1849,11134,303,246
,2017/2018,439,2265,2085,12188,309,284
,2018/2019,580,2907,2482,14195,307,339
,2019/2020,756,3796,2917,16892,370,418
    Indonesien,1998/1999,157,334,360,870,32,143
,1999/2000,177,377,428,900,40,134
,2000/2001,182,380,429,931,56,150
,2001/2002,216,395,488,942,72,133
,2002/2003,255,406,500,1035,88,137
,2003/2004,279,396,524,1126,102,130
,2004/2005,252,376,555,1108,119,141
,2005/2006,250,376,563,1125,139,117
,2006/2007,235,476,550,996,159,121
,2007/2008,229,455,560,898,168,121
,2008/2009,231,463,554,850,178,124
,2009/2010,274,486,571,899,178,136
,2010/2011,280,517,574,904,178,121
,2011/2012,283,579,588,890,184,122
,2012/2013,335,752,637,972,188,162
,2013/2014,368,816,681,1135,210,189
,2014/2015,375,938,737,1353,216,192
,2015/2016,313,1216,427,2008,236,184
,2016/2017,353,1145,508,2465,235,199
,2017/2018,364,1096,556,2732,240,206
,2018/2019,371,1158,594,2866,239,208
,2019/2020,376,1090,601,2948,235,221
    Irak,1998/1999,69,37,62,103,35,8
,1999/2000,60,42,69,118,44,10
,2000/2001,62,47,87,116,46,9
,2001/2002,63,42,96,127,57,8
,2002/2003,73,44,103,134,62,5
,2003/2004,56,50,119,129,67,7
,2004/2005,65,45,137,134,69,4
,2005/2006,53,60,145,176,70,6
,2006/2007,58,62,172,174,82,8
,2007/2008,67,68,158,183,78,10
,2008/2009,74,72,165,206,75,7
,2009/2010,85,92,160,259,75,7
,2010/2011,87,86,195,327,78,11
,2011/2012,70,90,223,365,73,16
,2012/2013,77,113,227,399,83,16
,2013/2014,86,136,246,403,85,17
,2014/2015,98,193,285,431,81,17
,2015/2016,86,171,171,588,81,17
,2016/2017,104,207,158,605,86,17
,2017/2018,100,210,149,584,86,14
,2018/2019,107,237,157,593,93,17
,2019/2020,118,272,178,684,104,14
    Iran,1998/1999,1070,1186,1606,2373,1471,161
,1999/2000,999,1105,1438,2066,1325,138
,2000/2001,951,1047,1386,1762,1103,110
,2001/2002,857,916,1374,1529,980,101
,2002/2003,790,852,1379,1391,840,82
,2003/2004,757,804,1346,1357,735,91
,2004/2005,551,624,1176,1137,600,97
,2005/2006,513,619,1123,1183,532,97
,2006/2007,519,648,1070,1280,474,101
,2007/2008,484,568,1056,1268,403,92
,2008/2009,548,697,1089,1389,367,92
,2009/2010,550,620,1172,1574,377,95
,2010/2011,593,639,1276,1747,360,124
,2011/2012,662,767,1441,1936,401,154
,2012/2013,770,870,1668,2238,397,174
,2013/2014,820,894,1841,2482,384,186
,2014/2015,899,888,2015,2661,387,183
,2015/2016,890,1008,1274,3730,397,214
,2016/2017,977,1108,1362,4132,410,224
,2017/2018,988,1154,1422,4317,417,227
,2018/2019,1161,1246,1583,4866,432,235
,2019/2020,1181,1347,1752,5384,480,224
    Israel,1998/1999,248,172,171,184,191,10
,1999/2000,240,159,183,153,184,7
,2000/2001,231,139,175,127,196,8
,2001/2002,238,118,187,114,194,7
,2002/2003,281,130,178,107,218,9
,2003/2004,284,151,216,129,295,7
,2004/2005,303,159,213,125,392,10
,2005/2006,286,181,213,128,459,10
,2006/2007,299,167,206,126,496,10
,2007/2008,296,166,207,143,568,11
,2008/2009,297,160,204,152,626,14
,2009/2010,320,158,218,156,694,26
,2010/2011,297,153,247,169,717,16
,2011/2012,316,163,258,183,703,20
,2012/2013,314,170,284,194,697,30
,2013/2014,323,195,273,220,665,35
,2014/2015,362,178,275,222,617,35
,2015/2016,340,254,152,341,557,35
,2016/2017,375,259,158,388,504,39
,2017/2018,358,317,156,441,425,34
,2018/2019,374,301,151,465,384,36
,2019/2020,357,292,139,496,339,33
    Japan,1998/1999,1508,270,72,57,22,20
,1999/2000,1556,267,95,63,25,17
,2000/2001,1652,302,94,79,31,24
,2001/2002,1743,301,116,92,34,25
,2002/2003,1802,291,130,100,31,28
,2003/2004,1865,300,131,127,36,36
,2004/2005,1785,292,126,145,38,36
,2005/2006,1704,283,131,154,32,35
,2006/2007,1695,275,135,163,34,37
,2007/2008,1619,228,133,139,28,36
,2008/2009,1526,260,145,118,27,30
,2009/2010,1515,243,152,128,30,31
,2010/2011,1498,238,144,117,35,29
,2011/2012,1547,263,146,118,35,29
,2012/2013,1573,293,157,129,33,28
,2013/2014,1604,316,173,157,37,30
,2014/2015,1511,365,156,148,37,38
,2015/2016,1438,423,133,210,44,33
,2016/2017,1429,468,123,222,44,36
,2017/2018,1374,446,133,244,50,38
,2018/2019,1383,438,152,226,54,46
,2019/2020,1392,488,137,263,42,36
    Jordanien,1998/1999,110,152,246,425,220,21
,1999/2000,102,141,222,401,217,23
,2000/2001,104,124,231,345,205,20
,2001/2002,104,127,238,329,207,31
,2002/2003,105,120,229,310,204,28
,2003/2004,111,116,236,302,191,30
,2004/2005,105,93,210,274,191,36
,2005/2006,97,88,210,253,194,25
,2006/2007,94,85,194,219,176,27
,2007/2008,88,68,158,207,154,26
,2008/2009,79,85,182,239,147,24
,2009/2010,78,105,177,305,153,21
,2010/2011,76,128,167,315,151,18
,2011/2012,103,143,169,362,140,16
,2012/2013,109,176,164,404,124,22
,2013/2014,123,178,162,448,142,27
,2014/2015,130,193,170,484,139,23
,2015/2016,113,220,100,657,149,24
,2016/2017,141,298,110,720,151,27
,2017/2018,172,395,130,884,155,31
,2018/2019,185,338,138,920,151,33
,2019/2020,173,321,141,1037,151,28
    Libanon,1998/1999,39,53,64,167,36,6
,1999/2000,42,56,70,225,43,4
,2000/2001,42,60,89,246,44,6
,2001/2002,48,75,119,308,45,7
,2002/2003,49,93,151,398,52,8
,2003/2004,49,98,204,521,60,10
,2004/2005,50,102,209,602,61,8
,2005/2006,52,104,220,686,67,8
,2006/2007,63,109,209,770,81,8
,2007/2008,63,119,230,764,76,9
,2008/2009,65,164,225,792,80,7
,2009/2010,57,157,209,775,84,6
,2010/2011,75,135,197,776,83,5
,2011/2012,76,128,210,720,81,6
,2012/2013,67,133,197,688,85,6
,2013/2014,79,150,195,653,78,8
,2014/2015,76,166,200,660,64,10
,2015/2016,66,169,148,738,64,17
,2016/2017,76,180,146,787,61,16
,2017/2018,73,191,128,774,65,18
,2018/2019,63,207,138,820,59,20
,2019/2020,61,230,129,873,56,24
    Pakistan,1998/1999,48,132,151,151,32,10
,1999/2000,41,143,153,196,33,13
,2000/2001,45,147,169,252,29,11
,2001/2002,51,152,191,316,33,19
,2002/2003,52,165,270,408,33,23
,2003/2004,62,158,379,493,40,31
,2004/2005,51,159,431,526,34,38
,2005/2006,46,154,471,522,39,45
,2006/2007,48,161,514,477,43,55
,2007/2008,53,146,539,466,50,64
,2008/2009,68,134,603,537,59,68
,2009/2010,67,144,620,648,61,70
,2010/2011,64,205,628,798,68,81
,2011/2012,93,248,672,968,70,90
,2012/2013,112,334,711,1206,61,99
,2013/2014,126,473,871,1502,57,114
,2014/2015,147,570,998,1721,76,143
,2015/2016,135,763,461,2574,82,152
,2016/2017,167,931,576,2798,101,176
,2017/2018,181,1030,624,3138,120,165
,2018/2019,214,1162,713,3701,123,180
,2019/2020,235,1160,753,3872,126,170
    Südkorea,1998/1999,3154,749,398,349,159,49
,1999/2000,3202,708,406,372,159,43
,2000/2001,3138,702,420,401,151,41
,2001/2002,3389,712,428,410,164,41
,2002/2003,3549,732,422,434,177,45
,2003/2004,3562,703,406,472,171,47
,2004/2005,3437,620,391,482,177,53
,2005/2006,3321,635,391,508,191,50
,2006/2007,3324,623,374,520,185,50
,2007/2008,3315,634,324,504,185,41
,2008/2009,3392,734,312,517,211,43
,2009/2010,3385,737,310,534,214,39
,2010/2011,3408,750,301,552,230,39
,2011/2012,3321,767,303,566,224,41
,2012/2013,3294,823,340,547,234,49
,2013/2014,3317,903,398,615,231,54
,2014/2015,3449,949,436,672,234,52
,2015/2016,3343,1189,372,902,225,56
,2016/2017,3492,1298,417,1035,224,61
,2017/2018,3586,1346,524,1081,216,82
,2018/2019,3635,1352,581,1183,217,98
,2019/2020,3827,1383,643,1296,212,83
    Syrien,1998/1999,120,74,192,283,166,20
,1999/2000,107,89,206,266,175,22
,2000/2001,107,86,249,272,187,21
,2001/2002,118,79,248,287,195,22
,2002/2003,114,99,274,299,234,27
,2003/2004,123,102,305,337,285,36
,2004/2005,118,114,360,341,347,38
,2005/2006,149,133,415,415,441,63
,2006/2007,168,142,438,449,509,84
,2007/2008,191,150,467,447,542,88
,2008/2009,204,173,535,462,591,102
,2009/2010,214,207,633,482,609,99
,2010/2011,233,212,618,576,593,97
,2011/2012,251,227,671,630,585,95
,2012/2013,246,255,731,689,569,85
,2013/2014,254,262,735,766,554,75
,2014/2015,260,288,815,880,586,60
,2015/2016,336,468,563,1704,661,71
,2016/2017,558,649,711,2680,791,80
,2017/2018,775,1112,1023,5009,1006,110
,2018/2019,849,1800,1289,8288,1266,160
,2019/2020,943,2449,1603,10516,1494,176
    Taiwan,1998/1999,651,410,165,152,28,15
,1999/2000,605,403,165,168,20,17
,2000/2001,562,366,151,153,20,13
,2001/2002,575,353,153,171,33,9
,2002/2003,592,353,161,193,27,10
,2003/2004,593,361,199,217,29,12
,2004/2005,556,329,196,211,40,18
,2005/2006,555,303,176,207,36,25
,2006/2007,590,326,145,198,37,27
,2007/2008,574,292,158,145,38,25
,2008/2009,572,287,159,142,43,19
,2009/2010,604,284,169,147,42,26
,2010/2011,675,277,198,143,44,27
,2011/2012,653,295,220,165,52,24
,2012/2013,698,330,229,179,50,23
,2013/2014,466,186,112,107,32,16
,2014/2015,671,346,214,200,39,18
,2015/2016,717,440,191,345,40,22
,2016/2017,770,544,234,385,47,33
,2017/2018,868,658,253,518,55,38
,2018/2019,935,796,290,654,60,47
,2019/2020,1042,865,330,804,63,51
    Thailand,1998/1999,67,61,50,110,7,23
,1999/2000,62,80,73,149,13,28
,2000/2001,74,92,85,188,14,34
,2001/2002,94,108,113,254,11,34
,2002/2003,105,141,142,333,12,35
,2003/2004,116,164,167,401,15,57
,2004/2005,121,180,187,432,12,52
,2005/2006,110,185,194,408,16,53
,2006/2007,110,182,206,369,19,62
,2007/2008,125,187,211,336,16,64
,2008/2009,120,200,223,377,14,59
,2009/2010,118,201,203,347,16,56
,2010/2011,124,193,193,364,19,56
,2011/2012,139,197,189,375,26,52
,2012/2013,148,193,194,319,31,47
,2013/2014,164,198,191,298,32,47
,2014/2015,169,222,192,280,33,41
,2015/2016,156,238,120,374,38,48
,2016/2017,161,255,125,425,39,52
,2017/2018,184,291,125,468,35,52
,2018/2019,187,310,132,433,39,53
,2019/2020,194,324,123,424,33,39
    Vietnam,1998/1999,144,397,349,445,72,36
,1999/2000,157,384,343,405,63,33
,2000/2001,179,391,364,385,58,33
,2001/2002,182,409,370,368,57,38
,2002/2003,210,434,442,403,64,41
,2003/2004,278,517,549,516,39,61
,2004/2005,317,637,695,659,45,65
,2005/2006,329,804,872,840,52,85
,2006/2007,367,970,939,910,54,75
,2007/2008,397,1132,933,969,58,77
,2008/2009,344,1252,936,1008,59,72
,2009/2010,439,1286,950,1037,65,93
,2010/2011,456,1330,976,1263,81,83
,2011/2012,481,1554,1091,1373,81,91
,2012/2013,602,1706,1170,1486,89,102
,2013/2014,602,1915,1258,1624,92,106
,2014/2015,662,1963,1306,1651,103,109
,2015/2016,690,2182,605,2653,114,112
,2016/2017,649,2378,648,2675,119,112
,2017/2018,688,2573,690,2892,102,115
,2018/2019,684,2690,746,3156,101,133
,2019/2020,718,2645,753,3254,110,122
    Sonstige Staaten in Asien,1998/1999,1193,855,553,617,274,158
,1999/2000,1480,1129,683,720,307,170
,2000/2001,1942,1379,856,841,333,165
,2001/2002,2257,1713,1137,1006,404,174
,2002/2003,2761,2009,1360,1216,470,203
,2003/2004,3221,2358,1603,1565,547,234
,2004/2005,3468,2555,1796,1723,641,274
,2005/2006,3515,2708,1764,1982,721,313
,2006/2007,3413,2807,1770,2069,776,315
,2007/2008,3056,2708,1616,2096,772,313
,2008/2009,2927,2989,1663,2283,838,322
,2009/2010,2765,3054,1737,2376,909,325
,2010/2011,2717,3180,1871,2870,960,348
,2011/2012,2740,3346,2122,3250,1030,416
,2012/2013,2670,3713,2335,3679,1111,439
,2013/2014,2604,4022,2623,4336,1193,502
,2014/2015,2647,4433,2919,4792,1291,546
,2015/2016,2198,5166,1484,6807,1361,578
,2016/2017,2204,5312,1649,7371,1416,596
,2017/2018,2248,5493,1818,7827,1372,590
,2018/2019,2308,5823,1997,8427,1368,612
,2019/2020,2423,6050,2269,9393,1389,691
Australien/Ozeanien,1998/1999,181,48,23,27,8,4
,1999/2000,186,48,25,29,7,4
,2000/2001,172,53,36,38,10,4
,2001/2002,172,64,41,45,9,6
,2002/2003,199,62,46,40,9,4
,2003/2004,192,91,52,47,10,3
,2004/2005,199,78,58,33,10,4
,2005/2006,220,91,35,39,9,6
,2006/2007,242,87,42,30,9,9
,2007/2008,219,93,39,38,13,8
,2008/2009,216,89,52,48,15,6
,2009/2010,252,115,62,72,16,9
,2010/2011,241,122,64,75,16,10
,2011/2012,268,153,77,106,27,14
,2012/2013,286,147,78,110,33,12
,2013/2014,278,161,83,145,33,15
,2014/2015,302,201,105,159,28,19
,2015/2016,327,235,84,208,33,21
,2016/2017,363,272,84,243,38,20
,2017/2018,318,266,89,223,47,22
,2018/2019,325,270,100,217,51,27
,2019/2020,349,243,93,220,58,28
    Australien,1998/1999,138,39,14,25,5,3
,1999/2000,147,37,16,26,4,3
,2000/2001,140,43,31,32,6,3
,2001/2002,132,52,33,37,7,6
,2002/2003,159,47,38,31,7,4
,2003/2004,143,80,39,39,9,3
,2004/2005,150,64,44,27,8,3
,2005/2006,174,75,27,35,8,4
,2006/2007,199,70,34,25,8,5
,2007/2008,187,81,27,33,9,7
,2008/2009,180,72,43,40,12,5
,2009/2010,206,95,47,52,12,7
,2010/2011,193,102,50,62,13,7
,2011/2012,218,126,59,77,24,12
,2012/2013,234,112,62,77,31,9
,2013/2014,221,134,66,114,31,12
,2014/2015,257,160,78,130,26,15
,2015/2016,274,196,65,173,31,16
,2016/2017,312,227,66,199,33,12
,2017/2018,269,223,67,178,42,14
,2018/2019,274,230,83,174,38,21
,2019/2020,296,210,72,182,45,22
    Neuseeland,1998/1999,37,7,9,2,3,1
,1999/2000,34,6,9,2,3,1
,2000/2001,29,6,4,3,2,1
,2001/2002,35,6,6,6,2,-
,2002/2003,36,9,6,8,2,-
,2003/2004,43,6,11,6,1,-
,2004/2005,39,7,12,5,1,1
,2005/2006,41,11,6,2,1,2
,2006/2007,39,14,8,4,1,3
,2007/2008,32,12,11,5,2,1
,2008/2009,35,13,7,7,2,1
,2009/2010,44,15,12,16,3,2
,2010/2011,48,19,13,13,2,3
,2011/2012,46,19,16,15,3,2
,2012/2013,49,28,15,22,1,2
,2013/2014,55,23,16,21,-,3
,2014/2015,43,32,24,22,-,4
,2015/2016,52,29,14,31,1,5
,2016/2017,51,37,16,39,4,8
,2017/2018,49,34,18,40,4,8
,2018/2019,48,32,14,38,11,6
,2019/2020,50,25,18,34,11,6
    Sonstige Staaten in Ozeanien,1998/1999,6,2,-,-,-,-
,1999/2000,5,5,-,1,-,-
,2000/2001,3,4,1,3,2,-
,2001/2002,5,6,2,2,-,-
,2002/2003,4,6,2,1,-,-
,2003/2004,6,5,2,2,-,-
,2004/2005,10,7,2,1,1,-
,2005/2006,5,5,2,2,-,-
,2006/2007,4,3,-,1,-,1
,2007/2008,-,-,1,-,2,-
,2008/2009,1,4,2,1,1,-
,2009/2010,2,5,3,4,1,-
,2010/2011,-,1,1,-,1,-
,2011/2012,4,8,2,14,-,-
,2012/2013,3,7,1,11,1,1
,2013/2014,2,4,1,10,2,-
,2014/2015,2,9,3,7,2,-
,2015/2016,1,10,5,4,1,-
,2016/2017,-,8,2,5,1,-
,2017/2018,-,9,4,5,1,-
,2018/2019,3,8,3,5,2,-
,2019/2020,3,8,3,4,2,0
Staaten insgesamt 4),1998/1999,51671,45791,22621,33057,9781,3073
,1999/2000,53440,49706,24928,33913,9959,3119
,2000/2001,56613,53071,28937,35339,9809,3258
,2001/2002,61276,58527,34075,38637,10142,3484
,2002/2003,65678,64483,39234,43518,10328,3785
,2003/2004,69703,69329,43450,48993,10557,4104
,2004/2005,67893,68508,43987,50617,11152,4177
,2005/2006,66628,69686,44061,52300,11421,4261
,2006/2007,65578,69878,43701,51410,11476,4326
,2007/2008,61457,65919,41218,49679,11091,4242
,2008/2009,59961,70013,41326,51126,12434,4283
,2009/2010,60559,69736,42168,55649,12326,4337
,2010/2011,61876,69200,43142,61186,12244,4384
,2011/2012,64058,71947,45915,65802,12869,4701
,2012/2013,66501,75336,49653,72013,13624,5074
,2013/2014,68861,79390,53393,79745,14458,5503
,2014/2015,70935,83893,57702,87091,15923,6025
,2015/2016,63151,97171,33867,122720,16991,6405
,2016/2017,64905,101436,36533,131518,17815,6688
,2017/2018,65567,105102,38372,140337,18273,6932
,2018/2019,66582,108155,40972,152389,19309,7258
,2019/2020,67363,111390,43160,161924,20112,7652
,,,,,,,
"Source: Federal Statistical Office, Fachserie 11 Reihe 4.1",,,,,,,
,,,,,,,
Notes:,,,,,,,
"1) Die ab Wintersemester 2015/2016 gültige Fächersystematik bewirkt eine teilweise Neuzuordnung von Studienbereichen zu Fächergruppen (siehe Quelle). Die aktuellen Ergebnisse nach einzelnen Fächergruppen sind daher nur eingeschränkt mit den Vorjahren vergleichbar. Die bisher separat nachgewiesene Fächergruppe ""Veterinärmedizin"" ist in der Fächergruppe ""Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"" aufgegangen; die Zuordnung ist hierfür rückwirkend für alle dargestellten Jahre umgesetzt.",,,,,,,
"2) Bisherige Bezeichnung Sprach- und Kulturwissenschaften. Einschließlich Sport, Kunst, Kunstwissenschaft und sonstige Fächer.",,,,,,,
3) Die Kategorien EU-Staaten sowie Nicht-EU-Staaten geben den im jeweiligen Referenzsemester gültigen Stand der EU-Mitgliedschaft der europäischen Staaten wieder.,,,,,,,
4) Einschließlich Staatenlose und ohne Angabe.,,,,,,,
,,,,,,,
- = Keine Daten auszuweisen oder 0.,,,,,,,
m = Daten nicht verfügbar.,,,,,,,
,,,,,,,
"Results of the ICE-BMBF's ICE-Database of the Federal Ministry of Education and Research (BMBF) (ICE = Information, Controlling, Entscheidung)",,,,,,,
"A system of the German Centre for Higher Education Research and Science Studies (DZHW), http://www.dzhw.eu/en/index_html",,,,,,,
,,,,,,,
Last update: October 2020,,,,,,,
,,,,,,,
This work is licensed under a Data licence Germany attribution 2.0.,,,,,,,
(https://www.govdata.de/dl-de/by-2-0),,,,,,,
