Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
,2009/2010,1036,368,490,588,218,103
,2010/2011,1022,449,513,633,238,98
,2011/2012,1133,480,517,707,257,103
,2012/2013,1126,534,586,714,284,120
,2013/2014,1190,593,633,755,325,131
,2014/2015,1270,597,668,789,367,147
,2015/2016,1046,989,502,1035,411,141
,2016/2017,1033,1151,535,1097,445,129
,2017/2018,1078,1268,566,1159,472,127
,2018/2019,1099,1327,585,1203,512,126
,2019/2020,1132,1419,609,1204,531,127
    Malta,1998/1999,12,3,4,9,2,2
,1999/2000,11,6,11,13,2,3
,2000/2001,11,12,18,10,1,1
,2001/2002,15,10,17,10,1,1
,2002/2003,18,8,14,12,1,-
,2003/2004,16,8,9,14,-,2
,2004/2005,12,6,8,13,-,2
,2005/2006,9,7,8,10,-,2
,2006/2007,6,6,6,8,-,1
,2007/2008,5,4,3,8,-,1
,2008/2009,9,9,3,4,-,1
,2009/2010,11,6,6,5,1,1
,2010/2011,11,10,7,3,-,1
,2011/2012,12,6,3,2,-,1
,2012/2013,8,5,3,6,1,-
,2013/2014,9,8,8,5,3,-
,2014/2015,9,9,10,4,3,1
,2015/2016,10,9,3,10,3,2
,2016/2017,11,6,7,10,3,2
,2017/2018,6,9,4,6,4,2
,2018/2019,9,11,6,9,5,-
,2019/2020,8,7,9,8,6,0
    Niederlande,1998/1999,637,615,314,441,54,49
,1999/2000,568,555,306,400,56,42
,2000/2001,528,512,295,334,49,52
,2001/2002,538,501,276,315,53,43
,2002/2003,550,532,279,296,54,44
,2003/2004,547,539,273,294,51,42
,2004/2005,439,505,243,277,61,45
,2005/2006,402,467,257,240,59,43
,2006/2007,430,479,227,211,60,40
,2007/2008,439,459,222,215,59,35
,2008/2009,435,478,245,206,64,37
,2009/2010,460,422,236,217,72,42
