,course_type,course_name,course_link,uni_name,uni_city,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type
108,PhD / Doctorate,GRK 2073 - Integrating Ethics and Epistemology of Scientific Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4699/,Bielefeld University ,Bielefeld,inquire,English,6 semesters,Other,Structured research and supervision
109,PhD / Doctorate,GRK 2073 – Integrating Ethics and Epistemology of Scientific Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4698/,Leibniz Universität Hannover ,Hannover,inquire,English,6 semesters,Other,Structured research and supervision
110,PhD / Doctorate,GRK 2300 Enrichment of European Beech Forests with Conifers,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5209/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Other,Structured research and supervision
111,Graduate school,GRK 2381 cGMP: From Bedside to Bench,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6943/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Other,Structured research and supervision
112,Graduate school,"Göttingen Graduate Center for Neurosciences, Biophysics, and Molecular Biosciences",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5221/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Other,Structured research and supervision
113,Graduate school,Hannover Biomedical Research School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5249/,Hannover Medical School ,Hannover,inquire,English,6 semesters,Other,Structured research and supervision
114,PhD / Doctorate,Heidelberg Biosciences International Graduate School (HBIGS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3950/,Universität Heidelberg ,Heidelberg,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
115,Graduate school,HEiKA Graduate School on Functional Materials,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6543/,Karlsruhe Institute of Technology ,Karlsruhe,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
116,Graduate school,Heine Research Academies (HeRA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5233/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
117,PhD / Doctorate,Helmholtz Interdisciplinary Graduate School for Environmental Research,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4020/,Helmholtz Centre for Environmental Research - UFZ ,Leipzig,inquire,English,6 semesters,Any time,Structured research and supervision
