,course_type,course_name,course_link,uni_name,uni_city,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type
70,PhD / Doctorate,GGNB International Max Planck Research School for Genome Science (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4781/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Winter semester,Structured research and supervision
71,PhD / Doctorate,GGNB Microbiology and Biochemistry (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4243/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
72,PhD / Doctorate,GGNB Molecular Biology of Cells (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3869/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
73,PhD / Doctorate,GGNB Molecular Biology — International Max Planck Research School (MSc/PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3741/,University of Göttingen ,Göttingen,inquire,English,8 semesters,Winter semester,Structured research and supervision
74,PhD / Doctorate,GGNB Neurosciences — International Max Planck Research School (MSc/PhD/MD-PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3742/,University of Göttingen ,Göttingen,inquire,English,8 semesters,Winter semester,Structured research and supervision
75,PhD / Doctorate,GGNB Physics of Biological & Complex Systems - International Max Planck Research School (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3935/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
76,PhD / Doctorate,GGNB Sensory and Motor Neuroscience (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3933/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
77,PhD / Doctorate,GGNB Systems Neuroscience (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3939/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
78,PhD / Doctorate,GGNB Theoretical and Computational Neuroscience (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3936/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
79,Graduate school,GRADE - Goethe Research Academy for Early Career Researchers,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5329/,Goethe University Frankfurt ,Frankfurt am Main,inquire,English,6 semesters,Any time,Structured research and supervision
80,Graduate school,Graduate Academy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5257/,Universität Heidelberg ,Heidelberg,inquire,English,6 semesters,Any time,Structured research and supervision
81,PhD / Doctorate,Graduate College: The Economics of Innovative Change,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3882/,Friedrich Schiller University Jena ,Jena,inquire,English,6 semesters,Any time,Structured research and supervision
82,PhD / Doctorate,Graduate Programme Competition Economics - DFG GRK 1974,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4574/,Heinrich Heine University Düsseldorf ,Düsseldorf,inquire,English,6 semesters,Any time,Structured research and supervision
83,PhD / Doctorate,Graduate Programme for Transcultural Studies (GPTS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3959/,Universität Heidelberg ,Heidelberg,inquire,English,6 semesters,Winter semester,Structured research and supervision
84,PhD / Doctorate,Graduate Programme in Labour Market Research of the Institute for Employment Research (IAB) and the School of Business and Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4410/,FAU Erlangen-Nürnberg ,Nürnberg,inquire,English,6 semesters,Winter semester,Structured research and supervision
85,Graduate school,Graduate Research School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5216/,Brandenburg University of Technology Cottbus-Senftenberg ,Cottbus,inquire,English,6 semesters,Winter semester,Structured research and supervision
86,Graduate school,Graduate School Cluster of Excellence CUI: Advanced Imaging of Matter,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6287/,Universität Hamburg ,Hamburg,inquire,English,6 semesters,Winter semester,Structured research and supervision
87,PhD / Doctorate,Graduate School Empirical and Applied Linguistics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4110/,University of Münster ,Münster,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision
88,PhD / Doctorate,Graduate School for East and Southeast European Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4463/,Universität Regensburg ,Regensburg,inquire,"German, English",7 semesters,Winter semester,Structured research and supervision
89,PhD / Doctorate,Graduate School for Geoinformatics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4406/,University of Münster ,Münster,inquire,English,6 semesters,Any time,Structured research and supervision
90,PhD / Doctorate,Graduate School Global and Area Studies (GSGAS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7035/,Leipzig University ,Leipzig,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision
91,PhD / Doctorate,Graduate School Language & Literature Munich,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3766/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision
92,PhD / Doctorate,Graduate School Life Science Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6547/,TU Darmstadt ,Darmstadt,inquire,English,6 semesters,Any time,Structured research and supervision
93,PhD / Doctorate,Graduate School Life Science Munich: From Molecules to Systems (LSM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5271/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision
94,PhD / Doctorate,Graduate School of Biomedical Science (BIOME),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6884/,University of Duisburg-Essen ,Essen,inquire,English,6 semesters,Any time,Structured research and supervision
95,PhD / Doctorate,Graduate School of Decision Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4424/,University of Konstanz ,Konstanz,inquire,English,6 semesters,Winter semester,Structured research and supervision
96,PhD / Doctorate,Graduate School of East Asian Studies (GEAS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6113/,Freie Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision
97,Graduate school,Graduate School of Economic and Social Sciences (GESS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5483/,University of Mannheim ,Mannheim,inquire,English,6 semesters,Winter semester,Structured research and supervision
98,Graduate school,"Graduate School of Economics, Finance and Management - GSEFM",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5392/,Goethe University Frankfurt ,Frankfurt am Main,inquire,English,6 semesters,Winter semester,Structured research and supervision
99,PhD / Doctorate,Graduate School of Excellence Advanced Manufacturing Engineering in Stuttgart (GSaME),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4014/,University of Stuttgart ,Stuttgart,inquire,"German, English",8 semesters,Any time,Structured research and supervision
100,PhD / Doctorate,Graduate School of North American Studies (GSNAS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3892/,Freie Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision
101,PhD / Doctorate,Graduate School of Politics (GraSP) (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3902/,University of Münster ,Münster,inquire,"German, English",6 semesters,Any time,Structured research and supervision
102,PhD / Doctorate,Graduate School of Quantitative Biosciences Munich (QBM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4441/,Ludwig-Maximilians-Universität München ,München,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision
103,PhD / Doctorate,Graduate School of Systemic Neurosciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4019/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision
104,PhD / Doctorate,Graduate School Practices of Literature (GSPoL),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4098/,University of Münster ,Münster,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision
105,Graduate school,"Graduate School Science, Medicine and Technology (OLTECH)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5269/,University of Oldenburg ,Oldenburg,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision
106,PhD / Doctorate,Graduate School Simulation Technology (GS SimTech),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4003/,University of Stuttgart ,Stuttgart,inquire,"German, English",6 semesters,Any time,Structured research and supervision
107,Graduate school,GraduateCenter LMU Munich,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5224/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,Any time,Structured research and supervision
