,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type,german_cities_dup,german_cities_y,german_states
37,38,PhD / Doctorate,Doctoral Programme / EBS Business School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3937/,EBS Universität für Wirtschaft und Recht ,Oestrich-Winkel,inquire,English,4 semesters,Any time,Structured research and supervision,Oestrich-Winkel,Oestrich-Winkel,Hesse
38,39,PhD / Doctorate,Doctoral Programme ARUS - Advanced Research in Urban Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4196/,University of Duisburg-Essen ,Essen,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision,Essen,Essen,North Rhine-Westphalia
39,40,PhD / Doctorate,Doctoral Programme Classical and Ancient Studies (PAW),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4206/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
40,41,PhD / Doctorate,Doctoral Programme Environment and Society,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4214/,Ludwig-Maximilians-Universität München ,München,inquire,"English, German",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Munich,Munich,Bavaria
41,42,PhD / Doctorate,"Doctoral Programme in Accounting, Finance and Management",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6885/,Frankfurt School of Finance & Management ,Frankfurt am Main,inquire,English,More than 9 semesters,Winter semester,Structured research and supervision,Frankfurt am Main,Frankfurt am Main,Hesse
42,43,PhD / Doctorate,Doctoral Programme in Buddhist Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4111/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",7 semesters,"Winter semester, Summer semester",Structured research and supervision,Munich,Munich,Bavaria
43,44,PhD / Doctorate,Doctoral Programme in Clinical Pharmacy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4877/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
44,45,PhD / Doctorate,Doctoral Programme in Law (Doctor Juris),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3637/,University of Münster ,Münster,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Münster,Münster,North Rhine-Westphalia
45,46,PhD / Doctorate,Doctoral Programme in Modern and Contemporary History (ProMoHist),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4209/,Ludwig-Maximilians-Universität München ,München,inquire,"German, English",6 semesters,"Winter semester, Summer semester",Structured research and supervision,Munich,Munich,Bavaria
46,47,PhD / Doctorate,Doctoral Programme in Natural Sciences (Dr rer nat),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4615/,University of Hohenheim ,Stuttgart,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Stuttgart,Stuttgart,Baden-Württemberg
47,48,PhD / Doctorate,Doctoral Programme in Neuroscience,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3822/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Any time,Structured research and supervision,Tübingen,Tübingen,Baden-Württemberg
48,49,PhD / Doctorate,Doctoral Programme in Quantitative Economics and Finance,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3808/,University of Konstanz ,Konstanz,inquire,English,6 semesters,Winter semester,Structured research and supervision,Konstanz,Konstanz,Baden-Württemberg
49,50,PhD / Doctorate,Doctoral Programme in the Overall Field of Cognition,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7152/,Max Planck School of Cognition ,Leipzig,inquire,English,8 semesters,Winter semester,Structured research and supervision,Leipzig,Leipzig,Saxony
50,51,PhD / Doctorate,Doctoral Programme of the School of Business and Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4478/,FAU Erlangen-Nürnberg ,Nürnberg,inquire,"German, English",6 semesters,Any time,Structured research and supervision,Nuremberg,Nuremberg,Bavaria
