,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type,german_cities_dup,german_cities_y,german_states
73,74,Bachelor's degree,BEng in Mechatronics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4772/,University of Applied Sciences Würzburg-Schweinfurt ,Schweinfurt,none,English,7 semesters,Winter semester,,,,Schweinfurt,Schweinfurt,Bavaria
74,75,Bachelor's degree,BEng in Robotics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6155/,University of Applied Sciences Würzburg-Schweinfurt ,Schweinfurt,none,English,7 semesters,Winter semester,,,,Schweinfurt,Schweinfurt,Bavaria
75,76,Bachelor's degree,Binational Bachelor in Teacher Education / Integrierter Studiengang Lehramt Primarstufe / Cursus Intégré Formation Transfrontalière d'Enseignants,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4830/,University of Education Freiburg ,Freiburg im Breisgau,none,"German, French",6 semesters,Winter semester,,,,Freiburg im Breisgau,Freiburg im Breisgau,Baden-Württemberg
76,77,Bachelor's degree,Binational Bachelor of Teacher Education / Integrierter Bachelorstudiengang Lehramt Sekundarstufe 1 (German-French),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5374/,University of Education Freiburg ,Freiburg im Breisgau,none,"German, French",6 semesters,Winter semester,,,,Freiburg im Breisgau,Freiburg im Breisgau,Baden-Württemberg
77,78,Bachelor's degree,Binational Bachelor's Degree in History - TübAix,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4351/,University of Tübingen ,Tübingen,none,"German, French",6 semesters,"Winter semester, Summer semester",,,,Tübingen,Tübingen,Baden-Württemberg
78,79,Bachelor's degree,Binational Bachelor's in History (German-French) — Bielefeld-Paris Geschichte (BiPaG) BA,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7144/,Bielefeld University ,Bielefeld,none,"German, French",6 semesters,Winter semester,,,,Bielefeld,Bielefeld,North Rhine-Westphalia
79,80,Bachelor's degree,"Bioengineering, BSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4320/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,7 semesters,Winter semester,,,,Kleve,Kleve,North Rhine-Westphalia
80,81,Bachelor's degree,"Biomaterials Science, BSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4218/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,7 semesters,Winter semester,,,,Kleve,Kleve,North Rhine-Westphalia
81,82,Bachelor's degree,BSc in Medicinal Chemistry & Chemical Biology (MCCB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4630/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,,Bremen,Bremen,Bremen
82,83,Bachelor's degree,BSc Information Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4022/,Hamburg University of Applied Sciences ,Hamburg,none,English,7 semesters,Winter semester,,,,Hamburg,Hamburg,Hamburg
