,german_cities
420,Drolshagen (North Rhine-Westphalia)
421,Duderstadt (Lower Saxony)
422,Duisburg (North Rhine-Westphalia)
423,Dülmen (North Rhine-Westphalia)
424,Düren (North Rhine-Westphalia)
425,Düsseldorf (North Rhine-Westphalia)
426,Ebeleben (Thuringia)
427,Eberbach (Baden-Württemberg)
428,Ebermannstadt (Bavaria)
429,Ebern (Bavaria)
430,Ebersbach an der Fils (Baden-Württemberg)
431,Ebersbach-Neugersdorf (Saxony)
432,Ebersberg (Bavaria)
433,Eberswalde (Brandenburg)
434,Eckartsberga (Saxony-Anhalt)
435,Eckernförde (Schleswig-Holstein)
436,Edenkoben (Rhineland-Palatinate)
437,Egeln (Saxony-Anhalt)
438,Eggenfelden (Bavaria)
439,Eggesin (Mecklenburg-Western Pomerania)
440,Ehingen (Donau) (Baden-Württemberg)
441,Ehrenfriedersdorf (Saxony)
442,Eibelstadt (Bavaria)
443,Eibenstock (Saxony)
444,Eichstätt (Bavaria)
445,Eilenburg (Saxony)
446,Einbeck (Lower Saxony)
447,Eisenach (Thuringia)
448,Eisenberg (Thuringia)
449,Eisenberg (Pfalz) (Rhineland-Palatinate)
450,Eisenhüttenstadt (Brandenburg)
451,Eisfeld (Thuringia)
452,Eisleben (Saxony-Anhalt)
453,Eislingen/Fils (Baden-Württemberg)
454,Ellingen (Bavaria)
455,Ellrich (Thuringia)
456,Ellwangen (Baden-Württemberg)
457,Elmshorn (Schleswig-Holstein)
458,Elsdorf (North Rhine-Westphalia)
459,Elsfleth (Lower Saxony)
460,Elsterberg (Saxony)
461,Elsterwerda (Brandenburg)
462,Elstra (Saxony)
463,Elterlein (Saxony)
464,Eltmann (Bavaria)
465,Eltville am Rhein (Hesse)
466,Elzach (Baden-Württemberg)
467,Elze (Lower Saxony)
468,Emden (Lower Saxony)
469,Emmelshausen (Rhineland-Palatinate)
470,Emmendingen (Baden-Württemberg)
471,Emmerich am Rhein (North Rhine-Westphalia)
472,Emsdetten (North Rhine-Westphalia)
473,Endingen (Baden-Württemberg)
474,Engen (Baden-Württemberg)
475,Enger (North Rhine-Westphalia)
476,Ennepetal (North Rhine-Westphalia)
477,Ennigerloh (North Rhine-Westphalia)
478,Eppelheim (Baden-Württemberg)
479,Eppingen (Baden-Württemberg)
480,Eppstein (Hesse)
481,Erbach (Donau) (Baden-Württemberg)
482,Erbach (Hesse)
483,Erbendorf (Bavaria)
484,Erding (Bavaria)
485,Erftstadt (North Rhine-Westphalia)
486,Erfurt (Thuringia)
487,Erkelenz (North Rhine-Westphalia)
488,Erkner (Brandenburg)
489,Erkrath (North Rhine-Westphalia)
490,Erlangen (Bavaria)
491,Erlenbach am Main (Bavaria)
492,Erlensee (Hesse)
493,Erwitte (North Rhine-Westphalia)
494,Eschborn (Hesse)
495,Eschenbach in der Oberpfalz (Bavaria)
496,Eschershausen (Lower Saxony)
497,Eschwege (Hesse)
498,Eschweiler (North Rhine-Westphalia)
499,Esens (Lower Saxony)
500,Espelkamp (North Rhine-Westphalia)
501,Essen (North Rhine-Westphalia)
502,Esslingen am Neckar (Baden-Württemberg)
503,Ettenheim (Baden-Württemberg)
504,Ettlingen (Baden-Württemberg)
505,Euskirchen (North Rhine-Westphalia)
506,Eutin (Schleswig-Holstein)
507,Falkenberg/Elster (Brandenburg)
508,Falkensee (Brandenburg)
509,Falkenstein/Harz (Saxony-Anhalt)
510,Falkenstein/Vogtl. (Saxony)
511,Fehmarn (Schleswig-Holstein)
512,Fellbach (Baden-Württemberg)
513,Felsberg (Hesse)
514,Feuchtwangen (Bavaria)
515,Filderstadt (Baden-Württemberg)
516,Finsterwalde (Brandenburg)
517,Fladungen (Bavaria)
518,Flensburg (Schleswig-Holstein)
519,Flöha (Saxony)
520,Flörsheim am Main (Hesse)
521,Florstadt (Hesse)
522,Forchheim (Bavaria)
523,Forchtenberg (Baden-Württemberg)
524,Forst (Lausitz) (Brandenburg)
525,Frankenau (Hesse)
526,Frankenberg (Eder) (Hesse)
527,Frankenberg/Sa. (Saxony)
528,Frankenthal (Pfalz) (Rhineland-Palatinate)
529,Frankfurt am Main (Hesse)
530,Frankfurt (Oder) (Brandenburg)
531,Franzburg (Mecklenburg-Western Pomerania)
532,Frauenstein (Saxony)
533,Frechen (North Rhine-Westphalia)
534,Freiberg am Neckar (Baden-Württemberg)
535,Freiberg (Saxony)
536,Freiburg im Breisgau (Baden-Württemberg)
537,Freilassing (Bavaria)
538,Freinsheim (Rhineland-Palatinate)
539,Freising (Bavaria)
540,Freital (Saxony)
541,Freren (Lower Saxony)
542,Freudenberg (Baden-Württemberg)
543,Freudenberg (North Rhine-Westphalia)
544,Freudenstadt (Baden-Württemberg)
545,Freyburg (Unstrut) (Saxony-Anhalt)
546,Freystadt (Bavaria)
547,Freyung (Bavaria)
548,Fridingen an der Donau (Baden-Württemberg)
549,Friedberg (Bavaria)
550,Friedberg (Hesse)
551,Friedland (Mecklenburg-Western Pomerania)
552,Friedland (Brandenburg)
553,Friedrichroda (Thuringia)
554,Friedrichsdorf (Hesse)
555,Friedrichshafen (Baden-Württemberg)
556,Friedrichstadt (Schleswig-Holstein)
557,Friedrichsthal (Saarland)
558,Friesack (Brandenburg)
559,Friesoythe (Lower Saxony)
560,Fritzlar (Hesse)
561,Frohburg (Saxony)
562,Fröndenberg (North Rhine-Westphalia)
563,Fulda (Hesse)
564,Fürstenau (Lower Saxony)
565,Fürstenberg/Havel (Brandenburg)
566,Fürstenfeldbruck (Bavaria)
567,Fürstenwalde (Brandenburg)
568,Fürth (Bavaria)
569,Furth im Wald (Bavaria)
570,Furtwangen im Schwarzwald (Baden-Württemberg)
571,Füssen (Bavaria)
572,Gadebusch (Mecklenburg-Western Pomerania)
573,Gaggenau (Baden-Württemberg)
574,Gaildorf (Baden-Württemberg)
575,Gammertingen (Baden-Württemberg)
576,Garbsen (Lower Saxony)
577,Garching bei München (Bavaria)
578,Gardelegen (Saxony-Anhalt)
579,Garding (Schleswig-Holstein)
580,Gartz (Brandenburg)
581,Garz/Rügen (Mecklenburg-Western Pomerania)
582,Gau-Algesheim (Rhineland-Palatinate)
583,Gebesee (Thuringia)
584,Gedern (Hesse)
585,Geesthacht (Schleswig-Holstein)
586,Geestland (Lower Saxony)
587,Gefell (Thuringia)
588,Gefrees (Bavaria)
589,Gehrden (Lower Saxony)
590,Geilenkirchen (North Rhine-Westphalia)
591,Geisa (Thuringia)
592,Geiselhöring (Bavaria)
593,Geisenfeld (Bavaria)
594,Geisenheim (Hesse)
595,Geisingen (Baden-Württemberg)
596,Geislingen (bei Balingen) (Baden-Württemberg)
597,Geislingen an der Steige (Baden-Württemberg)
598,Geithain (Saxony)
599,Geldern (North Rhine-Westphalia)
600,Gelnhausen (Hesse)
601,Gelsenkirchen (North Rhine-Westphalia)
602,Gemünden am Main (Bavaria)
603,Gemünden (Wohra) (Hesse)
604,Gengenbach (Baden-Württemberg)
605,Genthin (Saxony-Anhalt)
606,Georgsmarienhütte (Lower Saxony)
607,Gera (Thuringia)
608,Gerabronn (Baden-Württemberg)
609,Gerbstedt (Saxony-Anhalt)
610,Geretsried (Bavaria)
611,Geringswalde (Saxony)
612,Gerlingen (Baden-Württemberg)
613,Germering (Bavaria)
614,Germersheim (Rhineland-Palatinate)
615,Gernsbach (Baden-Württemberg)
616,Gernsheim (Hesse)
617,Gerolstein (Rhineland-Palatinate)
618,Gerolzhofen (Bavaria)
619,Gersfeld (Rhön) (Hesse)
620,Gersthofen (Bavaria)
621,Gescher (North Rhine-Westphalia)
622,Geseke (North Rhine-Westphalia)
623,Gevelsberg (North Rhine-Westphalia)
624,Geyer (Saxony)
625,Giengen an der Brenz (Baden-Württemberg)
