,course_type,course_name,course_link,uni_name,uni_city,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type
1,Bachelor's degree,Advertising & Brand Communication (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6217/,SRH Berlin University of Applied Sciences ,Berlin,"3.900,00",English,7 semesters,"Winter semester, Summer semester",,,
2,Bachelor's degree,"African Verbal and Visual Arts: Languages, Literatures, Media and Art (BA)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5443/,University of Bayreuth ,Bayreuth,none,English,6 semesters,Winter semester,,,
3,Bachelor's degree,"Agribusiness, BA",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4229/,Rhine-Waal University of Applied Sciences ,Kleve,none,English,7 semesters,Winter semester,,,
4,Bachelor's degree,Applied Biology (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3779/,Hochschule Bonn-Rhein-Sieg ,Rheinbach,none,English,6 semesters,Winter semester,,,
5,Bachelor's degree,Applied Cultural and Translation Studies (German-Polish),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7016/,University of Potsdam ,Potsdam,none,"German, Other teaching language",6 semesters,Winter semester,,,
6,Bachelor's degree,Applied Mathematics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4725/,Mittweida University of Applied Sciences ,Mittweida,none,English,6 semesters,Winter semester,,,
7,Bachelor's degree,Audio Design (BA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6219/,SRH Berlin University of Applied Sciences ,Berlin,"4.500,00",English,7 semesters,Summer semester,,,
8,Bachelor's degree,Autonomous Vehicle Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6920/,Technische Hochschule Ingolstadt ,Ingolstadt,none,English,7 semesters,Winter semester,,,
9,Bachelor's degree,Aviation Management Bachelor of Arts,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4335/,Worms University of Applied Sciences ,Worms,none,English,7 semesters,Summer semester,,,
10,Bachelor's degree,BA Architecture,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5660/,Berlin International University of Applied Sciences ,Berlin,"3.960,00",English,8 semesters,Winter semester,,,
11,Bachelor's degree,BA Business Administration | International Management & Marketing,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4538/,Berlin International University of Applied Sciences ,Berlin,"3.960,00",English,6 semesters,Winter semester,,,
12,Bachelor's degree,BA Business Administration | Organisational Psychology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5460/,Berlin International University of Applied Sciences ,Berlin,"3.960,00",English,6 semesters,Winter semester,,,
13,Bachelor's degree,BA Digital Business & Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5461/,Berlin International University of Applied Sciences ,Berlin,"3.960,00",English,6 semesters,Winter semester,,,
14,Bachelor's degree,BA European Cultures and Society (EUCS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3887/,Europa-Universität Flensburg ,Flensburg,none,English,6 semesters,Winter semester,,,
15,Bachelor's degree,BA German Studies in Cultural Comparison,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4277/,Universität Heidelberg ,Heidelberg,varied,German,6 semesters,"Winter semester, Summer semester",,,
16,Bachelor's degree,BA Graphic Design & Visual Communication,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4557/,Berlin International University of Applied Sciences ,Berlin,"3.960,00",English,6 semesters,Winter semester,,,
17,Bachelor's degree,"BA in Economics, Politics, and Social Thought",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4537/,"Bard College Berlin, a Liberal Arts University ",Berlin,,English,8 semesters,Winter semester,,,
18,Bachelor's degree,"BA in Humanities, the Arts, and Social Thought",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4535/,"Bard College Berlin, a Liberal Arts University ",Berlin,,English,8 semesters,Winter semester,,,
19,Bachelor's degree,BA in International Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4546/,University of Applied Sciences Würzburg-Schweinfurt ,Würzburg,none,English,7 semesters,Winter semester,,,
20,Bachelor's degree,BA Interior Design,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4539/,Berlin International University of Applied Sciences ,Berlin,"3.960,00",English,6 semesters,Winter semester,,,
21,Bachelor's degree,BA International Business – Intercultural Studies (IBIS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3930/,Heilbronn University of Applied Sciences ,Heilbronn,"1.500,00","German, English, French, Russian, Spanish, Other teaching language",7 semesters,"Winter semester, Summer semester",,,
22,Bachelor's degree,BA International Management Studies in the Baltic Sea Region (BMS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6453/,Stralsund University of Applied Sciences ,Stralsund,none,English,8 semesters,Winter semester,,,
23,Bachelor's degree,BA Management in International Business,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6403/,University of Applied Management Studies ,Mannheim,"3.540,00",English,6 semesters,"Winter semester, Summer semester",,,
24,Bachelor's degree,Bachelor Electrical Engineering/Elektrotechnik (BEng),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4762/,HTW Dresden - University of Applied Sciences ,Dresden,none,"German, English",8 semesters,Winter semester,,,
25,Bachelor's degree,Bachelor German as a Second/Foreign Language - BA Deutsch als Zweit-/Fremdsprache,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6971/,University of Education Freiburg ,Freiburg im Breisgau,varied,"German, English",6 semesters,Winter semester,,,
