,course_type,course_name,course_link,uni_name,uni_city,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type
86,Master's degree,"British and American Studies, Master of Arts",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6094/,Bielefeld University ,Bielefeld,none,English,4 semesters,"Winter semester, Summer semester",,,
87,Master's degree,British Studies (MA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4264/,Universität Regensburg ,Regensburg,none,English,4 semesters,Winter semester,,,
88,Master's degree,"British, American and Postcolonial Studies (MA)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4053/,University of Münster ,Münster,none,English,4 semesters,Winter semester,,,
89,Master's degree,Bucerius Master of Law and Business (LLM/MLB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3666/,Bucerius Law School ,Hamburg,"11.000,00",English,2 semesters,Other,,,
90,Master's degree,Building Sustainability – Management Methods for Energy Efficiency (MBA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4665/,Technische Universität Berlin ,Berlin,"5.000,00",English,3 semesters,Winter semester,,,
91,Master's degree,Business Administration,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5435/,University of Cologne ,Köln,none,English,4 semesters,Winter semester,,,
92,Master's degree,Business Administration - Specialisation in International Business Administration,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7047/,Catholic University of Eichstätt-Ingolstadt ,Ingolstadt,none,English,4 semesters,Winter semester,,,
93,Master's degree,"Business Administration, Specialisation in Entrepreneurship & Social Innovation",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7005/,Catholic University of Eichstätt-Ingolstadt ,Ingolstadt,none,English,4 semesters,"Winter semester, Summer semester",,,
94,Master's degree,Business Administration: Digital Technology Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4715/,Munich University of Applied Sciences ,München,none,English,3 semesters,Winter semester,,,
95,Master's degree,Business and Psychology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7004/,Catholic University of Eichstätt-Ingolstadt ,Ingolstadt,none,English,4 semesters,Winter semester,,,
96,Master's degree,Business Consulting Master (BCM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3737/,Furtwangen University ,Furtwangen im Schwarzwald,"1.543,00",English,3 semesters,Summer semester,,,
97,Master's degree,Business in a Digital World (MBA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7142/,University of Applied Sciences Zwickau ,Zwickau,"1.800,00","German, English",3 semesters,Winter semester,,,
98,Master's degree,Business Intelligence & Data Science (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6238/,International School of Management (ISM) ,Dortmund,"6.180,00",English,4 semesters,Winter semester,,,
99,Master's degree,Business Intelligence and Data Analytics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7054/,Hochschule Emden/Leer - University of Applied Sciences ,Emden,"5.980,00",English,3 semesters,"Winter semester, Summer semester",,,
100,Master's degree,Business Intelligence and Process Management (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4529/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,none,English,3 semesters,Winter semester,,,
101,Master's degree,Business Law in an International Context,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4139/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,none,"German, English",3 semesters,Winter semester,,,
102,Master's degree,Cardiovascular Science (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4563/,University of Göttingen ,Göttingen,none,English,4 semesters,Winter semester,,,
103,Master's degree,"Cell and Infection Biology, Master of Science",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4642/,Julius-Maximilians-Universität Würzburg ,Würzburg,none,English,4 semesters,"Winter semester, Summer semester",,,
